Provider,Node ID,Name,Country,Region,City,Latitude,Longitude,Data Center,Availability Zone,Service Types,Status,Bandwidth,Latency,Uptime,Description,Launch Date
alibaba_cloud,cn-hangzhou,华东1（杭州）,中国,华东,杭州,30.2741,120.1551,阿里云杭州数据中心,cn-hangzhou-a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,5.2,99.95,阿里云华东1区域主数据中心,2009-09-10T00:00:00
alibaba_cloud,cn-shanghai,华东2（上海）,中国,华东,上海,31.2304,121.4737,阿里云上海数据中心,cn-shanghai-a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,4.8,99.95,阿里云华东2区域数据中心,2012-03-01T00:00:00
alibaba_cloud,cn-beijing,华北1（北京）,中国,华北,北京,39.9042,116.4074,阿里云北京数据中心,cn-beijing-a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,6.1,99.95,阿里云华北1区域数据中心,2010-05-01T00:00:00
alibaba_cloud,cn-shenzhen,华南1（深圳）,中国,华南,深圳,22.3193,114.1694,阿里云深圳数据中心,cn-shenzhen-a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,5.5,99.95,阿里云华南1区域数据中心,2011-08-01T00:00:00
alibaba_cloud,ap-southeast-1,新加坡,新加坡,东南亚,新加坡,1.3521,103.8198,阿里云新加坡数据中心,ap-southeast-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,45.2,99.95,阿里云东南亚区域数据中心,2015-09-01T00:00:00
alibaba_cloud,ap-southeast-2,澳大利亚（悉尼）,澳大利亚,大洋洲,悉尼,-33.8688,151.2093,阿里云悉尼数据中心,ap-southeast-2a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,120.5,99.95,阿里云澳大利亚区域数据中心,2016-11-01T00:00:00
alibaba_cloud,us-west-1,美国西部1（硅谷）,美国,西部,硅谷,37.7749,-122.4194,阿里云硅谷数据中心,us-west-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,180.3,99.95,阿里云美国西部区域数据中心,2015-03-01T00:00:00
alibaba_cloud,us-east-1,美国东部1（弗吉尼亚）,美国,东部,弗吉尼亚,37.4316,-78.6569,阿里云弗吉尼亚数据中心,us-east-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,200.1,99.95,阿里云美国东部区域数据中心,2016-05-01T00:00:00
alibaba_cloud,eu-central-1,德国（法兰克福）,德国,欧洲,法兰克福,50.1109,8.6821,阿里云法兰克福数据中心,eu-central-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,220.8,99.95,阿里云欧洲区域数据中心,2016-10-01T00:00:00
alibaba_cloud,eu-west-1,英国（伦敦）,英国,欧洲,伦敦,51.5074,-0.1278,阿里云伦敦数据中心,eu-west-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,240.5,99.95,阿里云英国区域数据中心,2017-11-01T00:00:00
